TX_Quad_ID,lat,lon
406,33.5,-101.5
407,33.5,-100.5
505,32.5,-102.5
506,32.5,-101.5
507,32.5,-100.5
508,32.5,-99.5
509,32.5,-98.5
605,31.5,-102.5
606,31.5,-101.5
607,31.5,-100.5
608,31.5,-99.5
609,31.5,-98.5
610,31.5,-97.5
706,30.5,-101.5
707,30.5,-100.5
708,30.5,-99.5
709,30.5,-98.5
710,30.5,-97.5
711,30.5,-96.5
807,29.5,-100.5
808,29.5,-99.5
809,29.5,-98.5
810,29.5,-97.5
811,29.5,-96.5
812,29.5,-95.5
911,28.5,-96.5
912,28.5,-95.5
