Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,69,6,52,409,362,249,5,967,777,99,45,68,276,171,1883,1703,54,533,1091,107,627,390,3934,502,250,2370,114,1504,757,334,915,270,10345,9983,418,4562,19201,12506,11739,444,150,25471,22629
2015,2,981,121,674,3758,3428,1757,113,4585,3565,438,223,331,1144,816,11580,10508,422,4626,3946,638,2149,1403,19172,2273,1590,6457,338,4695,2490,1148,1737,637,33662,32598,715,20456,83980,42820,37943,1199,264,116050,102326
2015,3,426,40,324,1565,1443,788,29,1921,1477,206,97,136,446,334,5106,4486,181,1884,2528,366,1255,779,10183,1379,756,5283,218,2882,1457,649,2657,669,27643,26514,1292,11975,40028,34776,31998,1381,465,42662,41240
2015,4,27394,3480,18637,74514,71280,25439,3277,3754,3232,326,131,169,611,1687,91996,91347,4066,83002,5133,384,1790,1255,122200,19899,16838,12241,248,3839,2220,1078,9916,1920,184117,179027,5197,129965,231274,212758,203968,6100,1880,239416,235896
2015,5,426,62,267,3966,3305,2416,64,19061,15784,1333,630,1292,7136,3741,41369,33191,1919,5710,18354,4779,6814,4581,80801,11674,7108,14903,778,12343,7271,3555,2184,1160,105928,105685,665,85430,108733,107119,106726,376,233,109850,109288
2015,6,399,51,269,1596,1457,763,49,2128,1724,170,90,152,657,401,4714,4443,125,1962,1314,164,809,520,7004,617,437,2515,137,1847,949,428,648,249,12032,11861,259,7410,14069,12992,12669,222,92,14784,14437
2015,7,336,40,234,1339,1231,664,36,1535,1198,128,70,112,404,281,3962,3593,133,1624,977,219,460,329,5959,644,468,1071,50,841,510,254,218,88,7948,7899,84,6193,8774,8223,8126,65,30,9172,8978
2015,8,219,27,151,749,711,345,24,378,288,37,15,23,103,69,1914,1589,105,848,658,189,263,161,3252,460,373,678,37,521,275,126,145,63,4473,4455,53,3376,4833,4560,4532,29,18,5042,4938
2015,9,4121,539,2763,14712,13892,6838,518,17557,15092,1834,540,1016,7286,3517,58488,47134,3759,16869,35525,6593,12799,8840,152309,32354,18156,46184,1529,24984,15025,7433,23946,5584,315786,306665,11935,176491,388933,367453,350432,11469,4274,393134,391249
2015,10,8651,1104,5873,31658,29780,15096,1043,37430,32649,1941,925,2457,16705,8186,99194,87655,4449,36600,23749,6747,8713,6205,155278,22041,17415,25606,764,14290,9310,4755,12843,2938,243545,237195,6438,165388,317618,284487,268324,7601,2330,330718,325251
2015,11,1926,243,1312,9353,7997,4543,229,22803,17468,2960,1274,1605,4854,3639,49507,42988,1974,12932,42873,3864,24527,14018,132093,20598,9871,88009,5169,62608,28944,12174,24717,9422,322588,314425,9942,151298,499597,372471,353858,10113,3570,587001,549978
2015,12,1987,213,1449,8482,8044,4889,176,5556,4277,532,272,396,1325,1007,18879,17201,651,9637,17072,992,5713,2820,70877,16811,6001,39575,1428,15816,6512,2421,27175,6025,243487,231103,13748,93916,388580,313870,291399,15069,4955,438674,416361
2016,1,2499,294,1758,10761,9784,5587,262,13436,9917,1060,666,1003,2888,2299,38142,32824,1777,13335,23421,3135,9024,4282,98630,19395,9377,40207,2220,23912,9450,3405,17161,5147,220163,212784,7808,115177,335350,263333,248844,8900,2820,391481,367223
2016,2,321,36,229,1729,1525,977,31,3714,2932,402,185,265,958,642,7412,6741,208,2266,3662,402,2205,1450,13883,1517,826,7102,361,5047,2691,1232,2065,715,29422,28854,877,15340,72485,33547,31533,742,312,104124,90591
2016,3,2397,280,1690,10121,9414,5445,249,10427,8059,1130,509,719,2586,1818,31600,27238,1339,11984,20553,2561,12939,6554,61699,6136,4680,46312,3122,34972,14641,5666,10065,4872,141984,139466,3375,66150,193557,156756,151517,3182,1207,219599,208546
2016,4,882,105,616,4761,4410,2917,95,7565,6004,1373,415,441,1894,1163,23522,18580,1415,5687,28463,2879,15369,8647,81120,15347,7646,58179,3270,39486,18191,7649,18826,6496,219565,213215,8014,95738,295959,253678,243788,7924,2874,322581,311240
2016,5,724,78,525,3672,3333,2141,65,7854,6590,1865,512,452,1841,1158,15154,13881,422,4565,24975,759,19857,11564,44563,2568,1613,63415,4261,52478,24726,10529,8218,5722,131664,128234,1622,46959,213035,157338,145705,3725,617,245743,232034
2016,6,348,35,258,1328,1259,719,27,939,740,101,45,63,246,167,3015,2761,106,1509,1337,150,552,367,6426,1112,562,3492,84,1225,674,308,2654,532,22119,21221,1379,8242,41278,28215,25457,1170,491,47937,45120
2016,7,268,30,190,1172,1070,625,27,1680,1323,165,79,118,453,297,4054,3619,146,1441,1554,257,790,543,7211,928,579,2427,108,1642,936,447,824,249,13174,12963,374,7878,21232,14613,13940,285,132,24867,23314
2016,8,213,21,160,859,812,483,16,602,469,35,27,46,157,116,1686,1645,23,982,210,26,72,42,2260,191,91,587,13,158,70,24,505,98,5149,4995,264,2603,9617,6151,5716,207,93,11253,10556
2016,9,2101,230,1521,8627,8236,4890,193,5264,4360,335,195,370,1810,1080,16275,15717,328,9656,2128,339,1268,842,20212,1297,1065,3518,195,2719,1443,663,737,323,26452,26264,268,20668,32501,28109,27158,241,96,35112,33976
2016,10,683,91,452,15018,12630,10981,89,80003,70270,3514,2138,5701,35181,17393,107084,104621,1024,21322,12462,1614,8305,6643,126571,4108,2683,18789,750,14654,9769,5030,4132,1459,169207,163860,1737,129479,247787,209318,191374,5645,690,265386,258078
2016,11,280,31,200,1229,1071,597,27,2867,2264,243,130,210,791,522,5718,5155,177,1649,2113,336,1108,723,9780,1119,694,3676,174,2413,1279,584,1328,400,21956,19870,602,10733,50423,34549,30629,2187,243,61436,56672
2016,12,294,36,202,1248,1116,609,33,2229,1784,203,101,160,638,408,4653,4274,139,1594,1675,227,894,623,8055,972,566,3034,123,1873,1069,514,1263,338,16881,16359,601,8993,27699,21175,18891,639,216,30839,29442
2017,1,872,115,582,3565,3229,1697,111,5176,4117,452,231,370,1483,949,12186,11015,437,4448,8428,696,4296,2195,30115,4941,2327,22871,1039,11693,4922,1882,12348,3135,110047,104327,5988,38209,200592,144577,132300,6885,2164,240601,223928
