Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,0.0,0.0,0.0,513.0278555646902,192.75045531929925,0.0,20.37698478895097,1479.4602611081195,1031.4440666780329,0.0,0.0,0.0,0.0,39.31571638392606,3214.7786585991576,3644.106598224251,156.13116885586595,876.7471221261874,1273.6465392811112,55.04739704333943,181.050326554221,0.0,7202.615447130371,438.3708239051855,169.10183386748196,7109.906499973016,143.88665287456203,6787.501390916294,5132.973039745766,1295.8797260776585,693.8121815085823,380.60214545656356,21761.716141615463,13851.062033924192,70.88818889828235,7032.567846472179,27175.724502405872,25216.77208013179,24729.0182724798,3.4802924649964098,0.0,37417.205790604436,33277.46050461392
2015,2,302.56752608738884,32.29491915861317,168.00339744315255,1125.7114470071203,914.484619898705,35.05983526233922,71.82731940789253,2317.0481553378922,1272.0556978838222,117.98786617159618,38.606364845219105,49.94543469981676,56.131363736460116,75.02308344647338,6458.497719459533,5720.246912996642,344.51122704422,1926.1481403847952,3387.134661109001,159.0150592937964,1218.5044772683286,272.30019494439284,14271.77728996283,1576.4086484514155,1625.3227252683487,15670.308556958476,906.8532233840845,12731.863608680971,7651.840545169431,2369.4653144793456,6740.5320702510435,2845.288473895819,66080.09546909707,53521.62512218715,1497.0637135762072,15418.428402745343,127931.5530167367,89760.33338308719,81414.83080152242,1835.9184044781168,1132.5209814964796,173688.70454346424,152810.04739242845
2015,3,0.0,1.2434555099536553,0.0,574.1033024803158,263.92382291884604,0.0,30.367886538472952,1532.2832106443727,1043.1553819251512,0.0,3.0337118984373888,0.0,0.0,41.03209245367054,3472.0002693569213,3808.418262364317,177.2625365231292,985.3032896664835,1330.8203500659647,62.672753518740876,192.24847173726891,0.0,7698.438621831258,666.996459664945,460.06086794812205,7217.667929992014,145.44819533066334,6808.450567673818,5151.65275266105,1309.9315974324745,1048.7141731085235,451.3489101728396,24518.163020412845,16228.731582097904,183.63075742851242,7680.140041827837,61054.40391781749,30730.142972474452,28681.01911362785,198.25909230425555,0.0,104728.01780587868,83720.73687269446
2015,4,398.5866065049536,40.46012855107928,226.1468488050607,1254.4244456797198,1045.5562427893742,55.66272065978774,81.35196996799745,2788.77187165123,1419.7909108552553,332.35143940584646,67.0784769830941,71.12080280116851,82.07455871011075,88.76362290671045,9082.235474658815,7106.276755479144,574.4173709743425,2188.698213228416,5813.556155486927,348.9767998853026,1486.9152251656978,480.0100691388925,32849.48513952212,11598.549221600011,6045.5060009181125,21008.50863456532,821.9386646166022,13295.878966147433,8647.208706892048,3088.1828326849636,19683.80878815818,4494.735512191742,136382.26272208284,117633.0790216734,6643.894202837417,40329.51605858594,205185.45203288464,178198.62091636762,166555.89760641818,5727.604252175167,6198.019814561368,239177.2608522828,225039.97282628063
2015,5,6247.049388083507,987.7350720542893,3689.5564472795963,14688.199939813469,12749.526266538069,2178.183934952718,798.2181894912106,13970.464595335892,6895.080957314516,1584.9128704958812,480.4686825745466,706.6247715786403,711.844643360957,769.331347108422,81765.894133363,61291.60728371785,10729.65751937414,26946.929521653114,25882.009502657602,2532.5814866831133,6320.034420197975,1967.273457203315,214986.96345340114,69497.52803877107,51607.46840648781,71826.68911304348,4482.274434690642,49193.78853476936,25959.752042756878,9074.926546698161,39504.07598941941,12393.517220412927,415954.12976674235,384424.49199949874,12168.016111850055,227652.8329418625,583098.1615671997,510605.54313022643,486964.67747924814,19077.638815996936,10633.869504296976,689845.7947492474,629658.7186877092
2015,6,1028.631455219585,253.96130818792378,193.04724584107487,2990.5638314272564,2188.019281139253,0.0,398.89346223363464,9569.642780020273,4373.489728902132,2000.5774462444715,394.7393239443754,409.9159640270109,273.14408004177994,317.8021028032299,51784.48292940973,33985.838951698635,9989.452807986134,7349.200198608711,39634.19898518096,2580.135171348873,18365.117259890954,9687.751102499256,181811.94578232506,52872.727006391346,47894.465313769724,129953.92510491762,8396.774064643516,104033.17851540758,68523.42380421734,25856.84040739934,32446.5158448727,16748.503585545583,392317.4890840051,368019.31001895096,6791.57856648392,185867.04404403566,469722.4407952821,439108.2811449161,431894.4816391772,4311.371747421821,6267.782378692287,528899.3587660345,499962.60055496136
2015,7,0.0,0.0,0.0,448.8379158378955,117.69112983211915,0.0,19.540278741145904,1259.941226576337,964.5601123914207,0.0,0.0,0.0,0.0,29.32504274328675,2595.5400916624094,3258.158417021381,133.44359130972705,761.5339474314418,1051.7418205862832,34.364417965211715,69.9498046915713,0.0,6229.706413719529,265.6824953124195,0.0,6691.218604704515,120.07423205672907,6515.019854596386,4908.691574593228,1137.9319403522343,243.35162681823766,207.7233230278632,16791.349471581743,9537.198041063137,0.0,5880.403404242269,15848.656051123085,16944.97259074459,17688.678793984043,0.0,0.0,22117.996067837877,20680.15446588141
2015,8,0.0,0.0,0.0,515.1410670327973,189.37912070626595,0.0,0.0,1498.459670357124,1030.6755682944258,0.0,1.6801282041158458,0.0,0.0,39.31571638392606,3348.5077714594395,3708.70913984857,168.71404379395614,892.6034121837304,1232.9163240937205,66.39866705736011,148.3678995254951,0.0,7195.565399453921,413.0170046284437,201.8562021406962,6937.729335235914,134.72445228295408,6685.989470443752,5053.097636331335,1241.8858995716878,457.4612091546166,304.3388283400197,20092.175370733607,12533.384557709567,6.957234395229193,6952.961545136994,18786.913564208717,21372.923701375123,21716.336995360623,0.0,0.0,24102.737470429995,22911.00422880073
2015,9,737.126376056513,67.02591423625144,437.86042471926174,4988.482035728279,5343.317628800935,1810.474710285098,110.18344441173623,8512.123277971441,4725.934847981709,620.439092975658,134.5202907088161,384.99566015207483,1374.0225578336795,559.3032543908666,24044.491080361622,20137.891231752546,355.5187884391552,7404.050112465115,8207.400857230597,132.84737471641108,3007.2706789608274,918.6923857369766,52899.6014895016,8960.981107083473,4218.780300172273,36922.118945577524,2682.6793702319865,29142.889712752112,15004.981989097756,5218.237150112019,14877.089197333524,6216.154054917714,155228.83523378603,137418.15827156216,3382.9700791878317,57174.71020356305,197047.50728610138,188300.9328144195,178955.99398136855,2686.1515977221998,2995.470242736752,214174.52744297386,207040.691715259
2015,10,3880.657475621625,590.9243574283146,2112.5788824605324,10507.28620367717,10208.121643907014,2345.2368140549006,601.6469166829397,11597.718746787345,6499.180634293094,1116.5175831280549,269.52487357368454,534.9846492604356,1571.8571336653695,786.9257577914359,56028.596240969375,42147.60254168029,4707.441785477997,16895.631857125827,18643.14593461989,1632.6831669093244,4836.044428821155,1491.759736440501,148909.4445463021,44690.29827631995,31100.64205174643,65170.35851751084,3645.6546678961186,40855.41638719682,21785.447726229137,7750.365000314718,44913.619111470005,12161.646863951328,351994.80347558955,324550.31978055247,15109.195188081892,162152.5745717198,476568.87785026967,421569.9887200785,403581.8788058919,12356.875730048992,12204.795038186263,547161.5153973454,512292.32389784866
