Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,3331,1320,0,13750,11194,227,1825,13318,9603,2360,956,960,1323,1752,43327,39811,3143,20472,21746,2101,12862,9001,93004,18412,13109,40315,1846,28052,16025,7783,12705,4017,188711,184530,5647,103190,250188,210816,204531,5293,2020,271274,262535
2015,2,195,77,0,2700,972,0,107,22609,15222,2342,1484,1844,1863,3212,44450,37457,1867,7259,15070,4178,6763,4651,69934,6729,5483,19730,771,11715,6689,3252,8823,2269,128039,124885,4260,74969,191553,145688,139973,3993,1524,223828,210125
2015,3,10293,1537,6423,44887,41722,22828,1596,33010,25539,7016,2326,2117,4817,4735,102828,95755,3740,53218,61477,4226,44011,30877,199605,21965,14844,132772,6511,98851,56447,27444,33475,12261,464750,454541,13788,219146,532660,516770,503377,12925,4933,537192,535183
2015,4,5246,1613,1177,22108,18562,3959,2132,23773,16892,4228,1746,1731,1890,3128,71323,64810,4269,31438,36596,3892,22670,15859,143892,23630,17034,70801,3242,49303,28186,13667,22267,7047,309251,301926,9893,159245,388830,349943,336965,9273,3539,412529,402106
2015,5,77039,11315,48552,352243,319658,177444,11645,367756,270079,49234,22875,27008,55126,56670,1011386,918925,37419,438097,427184,55252,235485,164345,1891823,260301,155842,669185,32722,497291,284200,137918,169961,61911,3296067,3244069,70234,2052717,3676110,3575258,3492812,65835,25128,3691071,3684401
2015,6,2837,340,1980,13850,12944,8187,307,12832,10046,928,568,940,3558,2364,34903,32265,1036,16238,6413,1575,2912,2009,48504,4856,3812,5975,346,5265,3006,1461,450,429,55919,55909,14,49412,57061,56024,55958,13,5,57347,57223
2015,7,28912,2983,21412,133845,125791,80245,2361,124500,98118,23672,8020,8031,23478,18935,334114,309141,9131,155075,205573,14923,146589,102820,649162,62156,36869,400010,21632,328981,188106,91177,60569,32220,1256035,1242393,18427,689405,1420438,1333173,1307655,17273,6592,1486993,1458941
2015,8,11879,2483,5620,57800,48414,21508,2970,107184,77382,16354,7215,7886,12689,15186,251705,223495,10691,82538,130953,16857,82506,57647,468694,54116,38684,253258,11627,176847,101130,49005,79028,25132,1049530,1023593,35033,515625,1286233,1193067,1147666,32838,12533,1326848,1309571
2015,9,112662,13885,77727,540626,503554,312444,12797,502758,389674,45581,24456,36560,125530,89050,1378169,1271123,42470,638310,307866,63967,181285,125951,1875405,145759,134485,414198,23800,361484,206494,100314,35725,30250,2356835,2354200,3559,1886426,2405870,2380063,2366806,3336,1273,2415592,2411549
2015,10,1589,100,1338,7156,6841,4714,28,5606,4298,1035,373,373,870,853,16189,14951,342,7988,8074,740,6160,4317,25826,1084,969,15613,901,13693,7821,3800,1259,1130,43337,43274,84,25980,44247,43748,43572,78,30,44358,44277
2015,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,85,0,0,0,0,103,17,568,526,56,56,14083,1013,725,52,20,28234,22388
2015,12,402,74,214,1664,1526,703,85,1311,1057,522,129,63,63,124,3939,3699,166,2026,4581,143,3771,2652,9691,920,802,11831,572,8689,4962,2411,3136,1110,33600,32625,1317,11051,44784,40660,37290,1234,471,45044,44858
2016,1,3510,352,2623,16295,15358,9888,271,13065,9984,1264,670,954,2938,2289,38196,35279,1061,18765,8994,1743,5119,3558,53542,4359,3561,12912,676,10268,5864,2850,2409,1093,75259,74626,854,55018,90072,78754,77654,801,305,98022,94601
2016,2,3055,766,1124,12441,11205,3829,966,5008,3573,628,319,378,593,784,24709,23351,1539,15691,5813,811,2703,1882,43486,9215,7124,7084,364,5528,3157,1534,1456,615,57585,57180,546,45899,67712,61399,59116,512,195,71406,69571
2016,3,17676,3022,10063,75038,69311,34696,3349,42794,31271,6052,2742,3116,5685,6694,159610,148702,6874,90108,44375,6518,29736,20765,235067,25776,24102,74078,4161,63185,36083,17541,8283,5632,330255,328979,1723,237973,351984,338273,335084,1615,616,359210,355953
2016,4,11112,3069,3372,52618,43064,13622,3965,87938,61683,9272,5445,6927,10946,13187,222008,197155,11097,77783,96838,14851,31612,21864,515862,107257,56064,104413,3910,59393,33928,16481,50064,12402,881121,862997,24481,585753,1065749,981820,949699,22947,8758,1101974,1085738
2016,5,21781,4374,10759,108889,95596,48066,5160,148519,110444,12153,7667,11361,31213,24986,373318,337276,15359,143908,77540,21537,35493,24420,528969,58290,51360,72280,4075,61879,35342,17175,7788,5460,624647,623527,1513,535868,646527,632728,628887,1418,541,646727,646601
2016,6,8157,1304,4871,35344,33497,18183,1402,12980,10658,905,496,897,4289,2663,59468,57270,2291,40200,8131,1313,3476,2413,83977,11951,9566,21052,450,7128,4192,1900,16387,3214,181006,174667,8562,94291,278800,232428,204990,8025,3063,280718,279581
2016,7,11493,3305,3158,50206,42200,11420,4308,65719,47990,12993,4872,4580,6248,8558,177034,160252,9524,71278,104281,10028,75190,52677,337508,41202,34462,196873,10942,166322,95066,46118,24101,15198,603091,598807,5787,348809,651994,630034,619304,5424,2070,661993,657851
2016,8,29923,4062,19699,138936,128361,75390,3993,133062,102291,19420,7900,9240,25898,21192,365016,335887,12193,166797,154462,17406,105456,73792,603403,55790,42799,285428,15130,229860,131332,63769,49522,23738,1062022,1049614,16759,630618,1158072,1131895,1108971,15710,5996,1164063,1161642
2016,9,43856,9479,19967,196075,171830,72953,11458,203583,143010,18176,11993,16200,27784,32166,596229,538890,28480,259912,118767,34264,47203,32328,872562,116348,99416,126066,5054,76788,43870,21305,53875,14208,1239628,1220538,25784,911295,1398403,1342771,1311857,24169,9225,1422335,1411783
2016,10,671,223,107,4128,2625,442,300,17919,12389,2403,1226,1394,1549,2466,37200,31966,1671,8092,19091,3127,10257,7139,72883,9695,6238,33050,1378,20929,11952,5810,13091,3605,163445,158880,6165,81818,213818,190388,180717,5779,2205,223522,219232
2016,11,1563,450,428,6090,5493,1406,586,579,410,81,38,42,42,102,9296,9136,770,7656,581,95,377,263,13127,3179,3158,975,52,850,512,219,89,68,14301,14291,14,13155,19290,15219,14341,13,5,22020,20868
2016,12,531,189,53,4410,2939,1084,257,21880,16309,3973,1511,1523,2949,2975,41390,36116,1628,8291,30949,3151,22752,15936,80843,5875,5027,61723,3303,50211,28699,13923,10057,5056,175082,172676,3251,84592,200432,187961,184190,3047,1163,208003,204268
2017,1,607,135,267,2692,2284,879,164,3773,2634,588,269,284,287,514,9974,8895,472,3766,4260,644,2858,1995,16411,1717,1591,6932,398,6054,3457,1681,592,505,24400,24359,56,16553,27269,24819,24557,52,20,28433,27873
2017,2,3123,666,1445,14081,12184,5156,801,17582,12433,2244,1143,1345,1993,2586,47729,42855,2206,19077,17979,2913,9605,6685,84855,12063,8442,27000,1291,19613,11200,5445,7439,2566,143754,141409,3166,91089,160848,155683,152626,2968,1133,163245,162146
2017,3,20603,5348,7119,103288,80691,26977,6806,228277,155041,18841,13943,18814,24575,34506,542835,473509,25661,162847,111527,41427,31997,21431,800443,101838,84777,43513,2245,34103,19479,9464,8762,3760,888461,886054,3251,817475,907553,900704,897568,3047,1163,909612,908438
