Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2017,2,1848,246,1227,9051,8674,5484,239,3219,2547,188,130,234,933,653,14875,14238,456,10041,2266,380,414,282,23877,3911,2280,1397,39,597,341,165,925,195,31947,30953,474,25817,43727,38245,36012,1080,180,46695,45413
2017,3,20320,2541,13925,77461,70678,35983,2367,97209,76628,6268,4091,7216,28061,18526,235743,216261,7777,95335,53207,11641,16777,11504,387312,56815,34262,37465,1831,27842,15915,7719,9516,3465,480539,477878,3933,411342,507311,495357,490488,3438,1402,513530,510988
2017,4,35641,3724,26276,127492,120447,64641,2986,92693,73606,5367,3715,6805,27585,18570,279791,261723,8197,146048,40937,10797,11996,8160,397555,47960,32939,22204,1149,17469,9986,4843,4386,1908,448623,447253,1610,412465,463147,456570,453890,1685,579,466624,465171
2017,5,9482,975,7029,28857,27265,12559,770,15899,11997,1807,885,1148,2888,2903,57541,53847,1874,33051,15988,2207,8133,5668,94643,12668,8045,23653,1110,16886,9653,4681,6902,2292,149502,147264,2996,101667,172570,162200,157976,2827,1072,178009,175759
2017,6,6311,565,4890,20074,18598,9187,379,26200,21136,6702,1922,1539,4225,3679,60540,55746,1660,23963,64693,2864,45405,31895,166455,20809,9044,146765,6814,103600,59222,28722,44349,14399,504760,486856,19468,195755,697433,609839,574163,21701,7024,743139,724374
2017,7,4353,390,3373,16246,14616,7997,261,27726,21452,2257,1308,2074,6945,5065,60869,54930,1798,20545,18348,3549,7885,5458,102166,12502,6980,19700,985,14982,8564,4153,4560,1770,143222,142063,1813,108831,154709,149602,147522,1518,645,157378,156279
2017,8,1559,194,1069,5475,4859,2179,181,8375,6362,1126,491,601,1562,1360,19635,17729,697,7097,9119,1138,5749,4018,34829,3709,2539,17168,812,12352,7061,3424,4885,1649,71023,70065,2103,37865,79429,75829,74363,1379,742,81299,80536
2017,9,1195,118,898,4939,4255,2326,89,12006,9285,2189,782,810,2068,1786,24184,21609,750,6744,17642,1539,13106,9187,46848,3122,2333,36280,1920,29201,16692,8096,6316,3018,103018,102308,2143,49555,108198,106129,105286,1141,752,109281,108835
2017,10,231,23,172,694,601,232,18,1480,1134,438,127,87,102,167,3122,2794,104,941,3679,195,2948,2070,7473,430,330,8266,441,6717,3839,1862,1357,678,19746,19655,441,7978,20113,20018,19979,180,153,20162,20143
2017,11,778,110,501,3342,2835,1384,111,8828,7004,1249,485,608,2094,1462,17214,15487,566,4679,13844,1031,7036,4927,49438,9078,3653,29289,1017,15474,8846,4290,15579,3656,149711,144898,7749,61790,197004,176028,167485,6350,2757,207941,203455
2017,12,515,45,400,1404,1306,545,30,1480,1161,484,131,80,100,171,3805,3503,112,1664,4299,180,3355,2358,9466,767,448,10115,505,7687,4394,2131,2348,910,27978,27592,935,10645,31203,29844,29291,573,329,31916,31621
2018,1,137,18,91,445,365,120,17,1323,1037,465,124,71,72,130,2560,2289,88,655,4283,162,3256,2288,8610,911,429,9934,491,7472,4271,2071,2406,905,27434,27010,975,9979,31067,29523,28894,618,344,31872,31542
2018,2,890,103,628,3911,3535,2040,91,5637,4327,646,304,405,1237,939,13217,11977,421,4902,5226,741,3051,2128,22674,2499,1621,8693,422,6420,3670,1780,2260,810,40471,39928,942,24350,45692,43392,42455,731,334,46944,46400
2018,3,159,29,85,1174,821,435,33,6979,5521,1412,461,452,1307,1005,11977,10597,383,2105,12284,824,8938,6271,29664,2870,1524,25052,1324,20136,11511,5582,4397,2088,69549,68940,1500,32303,74596,72476,71613,909,528,75705,75248
2018,4,14573,1292,11325,49025,46383,24882,855,59454,51151,3127,1756,4151,24071,13014,132746,124886,3013,55987,20797,4696,11559,8014,167349,10411,9466,27223,1477,22461,12839,6227,4028,2182,207466,206491,1200,169162,217710,213082,211197,1210,430,220208,219134
2018,5,14116,1388,10626,39289,37347,15899,1044,20108,15805,3357,1218,1320,3678,3624,74224,70151,2310,44400,28440,2433,19879,13933,121433,12453,9184,55164,2907,44194,25263,12252,9871,4621,213982,210436,3412,127597,252946,235140,227887,4207,1238,262359,258422
2018,6,15820,1573,11865,67243,54438,28097,1198,230949,177927,38279,14468,15922,42145,34995,437180,386989,13935,101037,321528,29992,220243,154282,924008,90986,52842,618039,32011,486645,278186,134920,121580,53051,2030738,1977243,44545,1000377,2630862,2355191,2242911,62048,16282,2775474,2715652
2018,7,3918,504,2648,16267,12620,5363,479,59721,45222,12386,4297,4000,7694,8061,114565,100839,3999,25888,103088,8201,75573,52995,256068,22415,14621,210066,11119,169047,96634,46867,36613,17483,587591,581616,12434,274764,641242,618089,608659,8459,4394,653563,648363
2018,8,1396,127,1076,5704,5023,2854,87,13057,10340,2698,872,835,2380,1907,25981,23410,746,7501,22294,1536,17180,12056,53724,3337,2417,47708,2549,38752,22152,10744,7849,3916,124773,124337,2556,56945,125728,125728,125728,955,890,125764,125728
2018,9,2385,220,1830,12476,10586,6713,154,40665,32744,12546,3373,2253,5060,4713,73812,66314,2051,17463,113705,4480,87513,61501,229507,21436,9972,253910,13202,200703,114730,55644,48947,21678,651145,644300,17725,256795,706375,683410,674057,10405,6236,718337,713438
2018,10,3773,444,2654,13681,12434,6145,396,18260,14309,2372,993,1282,4137,3129,43449,39709,1420,16967,18623,2235,12574,8794,71749,6391,4923,34433,1793,27268,15587,7560,6572,2932,128247,127474,2366,75264,133825,131608,130704,1249,830,134995,134507
2018,11,78872,8193,58273,282777,252658,126416,6530,482430,373802,39628,22755,35982,121647,87991,1065216,962388,33622,362202,287475,61446,140897,97579,1620664,164430,115995,340129,17736,269643,154139,74757,64550,28921,2218931,2204037,23159,1684741,2366728,2300988,2274213,19481,8247,2401139,2386948
2018,12,76052,7799,56445,285519,262969,143146,6136,324722,248791,31156,16519,23983,73399,57740,825836,753959,25458,344967,244051,42951,126127,87670,1313418,145321,95706,331105,16659,253266,144777,70216,74770,29542,1959802,1938395,29398,1385335,2179203,2080735,2040629,27202,10512,2231040,2209490
2019,1,145013,14201,109320,619093,590270,368435,10635,431374,346421,30513,17711,31115,130061,85561,1305799,1225381,33176,695031,217783,48055,106363,73618,1747026,149443,115818,264530,13281,201907,115418,55977,60298,23668,2274078,2248358,23810,1798657,2558328,2428235,2375248,30323,8655,2626738,2598341
2019,2,40341,3976,30346,182551,168353,105213,2999,257396,205847,26984,12250,18162,70775,46450,581947,533150,15832,219995,215053,29159,132283,92370,941648,85324,56125,366984,18503,281297,160801,77988,82112,32655,1624357,1605171,32148,997977,1810598,1728282,1694755,25570,11424,1853836,1835917
2019,3,10692,1171,7747,41666,38386,21106,981,44196,33534,2676,2018,3397,10765,8218,116583,106491,3723,50313,17652,6031,4127,2746,163331,18285,13136,6273,245,3726,2130,1033,2803,721,184679,184448,1353,169106,185185,185185,185185,505,471,185185,185185
2019,4,2978,345,2110,10666,9758,4842,303,11275,8460,1645,699,802,1827,1780,30218,27553,1038,13059,13321,1592,8600,6013,52205,5395,3782,24506,1222,18588,10626,5153,5736,2210,106044,100290,2292,55810,175077,142867,129747,6161,888,192180,184984
2019,5,5565,526,4241,18636,17458,9031,379,20706,16995,4780,1385,1228,4193,3159,50177,46664,1342,21740,42060,2099,32225,22634,104889,7587,5001,111041,4832,73462,41994,20367,39921,11635,397607,374389,18386,124732,659780,539159,490031,26736,6739,724265,696880
2019,6,11597,989,9112,34089,32260,15424,617,27873,22237,5687,1825,1736,5128,4446,78573,73238,2091,38907,47131,3188,36355,25514,139849,9358,7202,98420,5398,82069,46914,22753,13444,7759,280565,276512,3695,145225,325457,304900,296527,4766,1344,336353,331780
2019,7,2172,217,1624,5978,5584,2241,167,3796,2731,680,274,266,286,578,13104,12095,458,7015,5539,602,3714,2599,22251,2358,1740,10012,533,8111,4636,2248,1675,825,37664,37570,552,23322,37870,37870,37870,206,192,37994,37870
2019,8,415,39,317,1342,1191,549,28,8579,8015,5970,1141,140,154,266,11456,10923,167,1740,53202,318,46843,32974,66072,840,568,133406,7201,109481,62584,30353,20502,10783,256577,255500,6317,72340,258937,258937,258937,2360,2199,258964,258937
2019,9,1310,114,1021,5376,5107,3174,74,4740,3842,1537,402,246,555,555,12674,11824,303,6085,13878,507,10844,7622,31342,2589,1368,31686,1639,24918,14244,6908,6275,2724,84824,83752,2307,34647,94320,90241,88580,1534,814,96473,95574
2019,10,3273,259,2622,43737,42646,37884,142,48736,44393,2512,1074,2998,25166,10011,104024,99913,1196,46617,18857,2456,13055,9127,129305,4263,3534,32969,1853,28178,16107,7812,3615,2495,170698,170540,727,130565,171397,171195,171113,305,253,171505,171459
2019,11,2383,234,1794,11529,11163,7534,176,6464,5566,651,245,407,2442,1275,20932,20082,430,12492,5303,507,3758,2632,29155,2009,1576,10109,546,8308,4749,2303,1538,815,44377,44003,470,29981,48283,46520,45803,465,168,49286,48825
2019,12,1313,142,954,8425,8131,6036,118,3849,3028,627,230,252,799,620,14803,14026,340,9199,5553,464,3690,2585,24474,2393,1453,10490,538,8190,4682,2270,2153,910,43822,42962,807,26091,53300,48964,47198,1015,293,55758,54633
2020,1,959,78,763,9341,9260,7903,44,6409,6235,4139,759,69,923,236,16362,16197,96,9555,36949,98,32828,23112,54020,480,364,91323,5055,76849,43930,21306,11572,7095,175091,173805,2910,56901,186215,181473,179542,1868,1026,188975,187674
2020,2,758,61,604,6810,6749,5680,34,4180,4058,2509,463,59,737,214,11430,11314,72,6968,22382,69,19872,13990,34276,330,265,55390,3059,46510,26587,12894,7148,4318,107703,107244,1839,36089,110241,109367,109011,831,643,110917,110510
2020,3,5127,522,3812,20860,18518,10284,409,40184,31311,9613,2990,2508,5488,5335,85086,76686,2591,27037,81179,5019,62511,43882,188945,13468,9052,178034,9312,141570,80927,39249,33229,15073,479207,472881,11801,204063,538464,512551,501997,8677,4181,552302,546434
2020,4,2989,271,2307,11247,9738,5091,185,24448,18394,4644,1700,1671,3258,3452,51745,46015,1651,15227,41073,3424,27339,19159,119512,13974,7036,77098,3993,60703,34700,16829,15171,6618,256646,251744,5559,131063,308987,285239,275567,5988,2002,321546,316292
2020,5,78165,6929,60757,364496,312255,189046,4579,895975,678327,80970,45871,67834,197064,154756,1829721,1623695,56780,502369,598614,123115,294862,204354,2952648,298726,190621,728531,37474,569697,325662,157946,148427,63130,4297927,4255669,55444,3099852,4735676,4538645,4458395,53168,19857,4838608,4796279
2020,6,72184,7230,54008,231018,194600,78695,5551,471624,330120,62231,31525,36249,45376,69028,1082380,948432,40120,327092,479805,80043,268403,186866,1930294,213899,139013,724799,36189,550163,314496,152530,169164,65308,3316762,3282290,67508,2060270,3633915,3495991,3439814,47941,23891,3705634,3676338
2020,7,9750,951,7359,27321,25318,10410,709,26160,20126,7134,2139,1572,2223,3402,71443,65731,2298,32599,64831,3413,47288,33205,170322,18889,10461,142213,7069,107471,61435,29796,33808,12886,438171,432304,13599,190922,488363,467050,458370,8591,4794,499981,494919
2020,8,1077,122,770,3874,3246,1420,105,10226,7826,1582,628,717,1858,1586,20583,18311,694,5531,12353,1357,8767,6137,37444,2882,2216,22599,1263,19212,10982,5326,2612,1726,66527,66428,576,38549,66742,66742,66742,215,200,66836,66742
2020,9,11511,1187,8525,47365,43572,25317,940,82869,69699,25142,6368,4247,15669,10293,167164,154697,4261,57366,220060,7449,179761,126376,431063,25521,16134,512130,27232,413995,236656,114778,86848,42342,1214280,1203720,28929,467005,1296648,1262840,1249070,16377,10167,1315012,1307047
